ID,level,trial,time_played,N_attempt,done,expectancy,SoC,crashed,N_drift,N_prior_crashs,SoC_last_trial,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success,Neuroticism,Extraversion,Openness,Conscientiousness,Agreeableness,Neuroticism_norm,Extraversion_norm,Openness_norm,Conscientiousness_norm,Agreeableness_norm
BI21RG,60,0,9.11737895011902,1,False,5,1,1,1,0,,0,0,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,79,1,14.378393411636353,1,False,5,1,1,2,1,1.0,1,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,7,2,10.548821449279783,1,False,5,1,1,2,2,1.0,2,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,66,3,11.96584963798523,1,False,3,2,1,2,3,1.0,3,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,31,4,13.217086791992188,1,False,3,1,1,2,4,2.0,4,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,77,5,16.007346868515015,1,False,2,3,1,3,5,1.0,5,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,40,6,21.91292715072632,1,False,2,2,1,2,6,3.0,6,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,19,7,9.548009157180786,1,False,2,2,1,1,7,2.0,7,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,65,8,8.447477340698242,1,False,2,1,1,1,8,2.0,8,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,24,9,5.921508073806763,1,False,2,1,1,1,9,1.0,9,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,78,10,6.668339490890503,1,False,1,1,1,1,10,1.0,10,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,13,11,10.907597541809082,1,False,2,1,1,1,11,1.0,11,1,0,0,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,70,12,22.37281584739685,1,True,2,3,0,4,12,1.0,1,1,1,1,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,62,13,12.010719060897827,1,False,2,2,1,2,12,3.0,0,0,0,1,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,44,14,11.910158157348633,1,False,3,2,1,2,13,2.0,1,1,0,1,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,4,15,12.995829343795776,1,False,2,3,1,3,14,2.0,2,1,0,1,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
BI21RG,1,16,18.834678411483765,1,True,3,3,0,4,15,3.0,1,1,1,2,23,35,28,28,28,0.4,1.3,-0.2,-0.8,-0.5
